STATE,AGE.REFP,SEX.REFP,AGE.SPOUSE,SEX.SPOUSE,NUM.CHILD,SALARY,EDU.FATHER,EDU.MOTHER,RACE.SPOUSE,RELIGION.SPOUSE,RACE.REFP,RELIGION.REFP
47,63,2,0,0,0,0,0,0,0,0,1,99
47,40,2,0,0,0,0,0,0,0,0,1,19
38,83,1,81,2,0,0,1,2,1,11,1,11
8,54,1,45,2,1,4900,0,0,1,14,1,14
38,30,1,0,0,0,0,0,0,0,0,1,15
38,58,1,58,2,0,0,6,6,1,14,1,14
38,51,1,48,2,0,0,7,6,1,11,1,11
38,49,1,46,2,0,85000,6,4,1,1,1,1
38,34,1,32,2,2,19200,6,7,1,11,1,11
8,28,1,28,2,0,102000,8,7,1,1,1,1
38,29,1,28,2,0,0,4,5,1,11,1,9
17,78,2,0,0,0,0,0,0,0,0,1,10
17,59,1,0,0,0,0,0,0,0,0,1,10
17,55,1,0,0,0,0,0,0,0,0,1,10
17,41,2,0,0,2,0,0,0,0,0,1,2
17,30,2,0,0,0,33000,0,0,0,0,1,1
17,27,1,0,0,0,0,0,0,0,0,1,1
6,59,1,57,2,0,0,4,4,1,11,1,11
6,46,1,45,2,0,14900,4,4,1,10,1,14
17,77,1,0,0,0,0,0,0,0,0,1,6
17,51,1,48,2,1,5000,4,4,1,14,1,14
48,41,1,30,2,5,0,4,8,1,1,1,1
8,84,1,81,2,0,0,2,4,1,6,1,6
28,61,1,65,2,0,0,4,4,1,6,1,6
5,58,1,67,2,0,0,99,99,1,1,1,11
41,57,1,0,0,0,6429,0,0,0,0,1,6
39,54,1,0,0,0,0,0,0,0,0,1,1
8,52,1,0,0,0,0,0,0,0,0,1,1
48,41,1,31,2,2,0,4,4,1,6,1,6
55,39,1,40,2,2,0,99,4,1,1,1,1
8,38,1,36,2,3,0,99,4,1,14,1,14
8,30,1,29,2,3,0,4,4,1,14,1,14
4,28,1,0,0,0,0,0,0,0,0,1,1
39,27,1,0,0,0,0,0,0,0,0,1,1
48,27,1,27,2,1,78000,8,7,1,14,1,14
8,60,1,60,2,0,0,3,4,1,6,1,6
48,64,2,0,0,0,0,0,0,0,0,1,9
8,70,1,59,2,0,0,3,4,1,6,1,6
8,55,1,51,2,0,0,4,3,1,1,1,1
39,46,2,0,0,1,0,0,0,0,0,1,1
45,82,2,0,0,0,0,0,0,0,0,1,9
45,54,2,0,0,0,0,0,0,0,0,1,14
45,42,2,0,0,0,0,0,0,0,0,1,14
45,27,2,0,0,0,0,0,0,0,0,1,14
45,26,2,0,0,2,0,0,0,0,0,1,14
45,26,2,0,0,2,0,0,0,0,0,1,14
37,70,1,67,2,0,0,4,4,1,6,1,6
45,48,2,0,0,1,0,0,0,0,0,1,9
45,43,1,37,2,2,70000,6,6,1,6,1,6
6,23,1,0,0,0,0,0,0,0,0,1,1
45,73,1,72,2,0,0,3,4,1,6,1,9
37,48,1,48,2,0,0,7,6,1,15,1,15
45,68,1,55,2,0,92000,8,8,1,7,1,6
12,66,1,67,2,0,0,5,5,1,6,1,6
12,37,1,38,2,3,75000,7,7,1,15,1,15
45,29,1,34,2,1,56000,5,4,1,6,1,6
45,26,1,25,2,0,0,4,4,1,6,1,6
45,61,1,62,2,0,0,7,6,1,6,1,6
45,41,1,41,2,2,95000,8,8,1,6,1,6
45,30,1,30,2,1,50000,8,7,1,6,1,6
6,82,2,0,0,0,0,0,0,0,0,1,4
6,52,1,49,2,2,0,0,0,7,15,1,12
6,26,1,23,2,0,0,4,4,1,14,1,14
23,85,2,0,0,0,0,0,0,0,0,1,4
23,56,2,0,0,0,0,0,0,0,0,1,99
12,65,2,0,0,0,0,0,0,0,0,1,99
41,32,2,0,0,0,0,0,0,0,0,1,1
34,66,2,0,0,0,0,0,0,0,0,1,1
18,86,1,68,2,0,0,99,4,1,4,1,1
17,62,1,0,0,0,0,0,0,0,0,1,14
18,55,2,0,0,0,0,0,0,0,0,1,6
17,42,1,40,2,2,0,5,5,1,6,1,6
29,42,1,39,2,2,0,4,4,1,6,1,14
18,60,1,61,2,0,0,4,8,1,6,1,9
18,83,1,83,2,0,0,2,2,1,13,1,99
18,29,1,23,2,1,0,4,6,1,14,1,14
42,26,1,26,2,2,0,4,6,1,14,1,14
45,32,1,31,2,2,75000,8,4,1,4,1,6
48,39,1,37,2,2,8200,4,6,1,15,1,4
17,40,1,41,2,3,0,4,4,1,14,1,14
13,44,1,38,2,1,170000,6,7,1,18,1,18
45,90,1,0,0,0,0,0,0,0,0,1,6
18,64,2,0,0,0,5000,0,0,0,0,1,9
45,55,2,0,0,0,0,0,0,0,0,1,14
45,39,1,0,0,0,0,0,0,0,0,1,1
45,31,2,0,0,0,90660,0,0,0,0,1,9
45,67,1,65,2,0,0,4,6,1,9,1,9
45,42,1,41,2,2,49000,3,4,1,9,1,6
45,61,1,61,2,0,50000,4,6,1,6,1,6
37,38,1,38,2,3,0,4,4,1,6,1,15
45,23,2,0,0,0,0,0,0,0,0,1,10
45,55,2,0,0,0,0,0,0,0,0,1,10
45,60,1,57,2,0,78000,7,4,1,10,1,10
36,35,1,36,2,1,90000,7,6,1,16,1,4
34,62,1,59,2,0,134000,4,4,1,4,1,4
34,43,1,36,2,2,65000,7,6,1,4,1,1
29,71,2,0,0,0,0,0,0,0,0,1,10
19,43,1,36,2,0,0,4,5,1,1,1,1
19,26,1,0,0,0,0,0,0,0,0,1,3
19,72,1,0,0,0,0,0,0,0,0,1,4
29,73,1,71,2,0,0,4,6,1,6,1,6
29,44,1,52,2,0,0,4,4,1,15,1,15
21,72,1,0,0,0,0,0,0,0,0,2,6
21,77,2,0,0,0,0,0,0,0,0,2,6
21,39,1,0,0,0,0,0,0,0,0,2,1
12,60,2,0,0,0,0,0,0,0,0,2,14
21,44,2,0,0,1,0,0,0,0,0,2,14
12,42,1,0,0,0,0,0,0,0,0,2,14
21,27,2,0,0,0,0,0,0,0,0,2,6
21,25,1,23,2,1,0,4,6,2,6,2,6
21,23,2,0,0,0,0,0,0,0,0,2,1
21,45,1,0,0,1,0,0,0,0,0,2,14
21,40,2,0,0,5,0,0,0,0,0,9,99
21,39,1,40,2,1,0,99,6,2,14,2,14
21,36,2,0,0,3,0,0,0,0,0,2,15
21,41,1,0,0,0,9999999,0,0,0,0,2,1
21,91,1,0,0,0,0,0,0,0,0,2,6
21,29,1,0,0,0,0,0,0,0,0,1,14
21,27,1,0,0,2,0,0,0,0,0,2,3
32,70,1,69,2,0,0,4,6,2,6,2,6
21,54,2,0,0,1,0,0,0,0,0,2,14
39,21,1,20,2,1,0,4,6,1,14,1,4
36,76,1,73,2,0,14000,3,3,1,14,1,14
36,41,1,27,2,0,0,4,4,1,1,1,15
36,46,1,45,2,2,70000,8,6,1,14,1,14
36,62,1,63,2,0,350,2,4,1,4,1,4
36,72,1,66,2,0,0,6,4,1,4,1,4
24,21,1,0,0,0,0,0,0,0,0,1,1
36,43,1,37,2,2,180000,6,4,1,4,1,4
29,51,1,47,2,0,0,4,4,1,14,1,14
29,58,1,0,0,0,9999999,0,0,0,0,1,10
29,41,1,48,2,0,0,7,7,1,10,1,6
39,79,1,70,2,0,0,1,1,1,6,1,6
54,40,1,39,2,1,9999999,4,4,1,14,1,1
21,64,1,57,2,0,134000,6,4,1,4,1,4
21,61,1,62,2,0,0,4,0,1,12,1,1
21,31,1,0,0,0,0,0,0,0,0,1,3
6,26,1,0,0,0,30000,0,0,0,0,1,99
21,60,1,59,2,0,439480,7,7,1,4,1,4
21,25,1,30,2,0,55000,8,8,1,4,1,4
21,38,1,33,2,4,0,7,8,1,12,1,11
34,51,2,0,0,0,100000,0,0,0,0,1,4
